rec_id, given_name, surname, street_number, address_1, suburb, postcode, state, date_of_birth, age, phone_number, soc_sec_id, blocking_number
rec-133-org,   Sommer, Rego, 42, Hammerberg St, Volcano, 90220, wa, 19490201, 33, 602 5268232, 9855405, 8
rec-82-org,   Sumiye, Ryan, 22, Kapaakea Ln, Makaha, 85224, hi, 20010601, , 206 9770133, 9884134, 4
rec-161-org,   Umeno, Okamura, 8, Tampa Dr, Kukuihaele, 85079, az, 19320517, 37, 206 4642179, 7315687, 9
rec-163-org,   Sumiye, Tanaka, 88, Hiki St, Kahaluu, 85216, wa, 20110519, , 423 6343168, 2430560, 0
rec-26-org,   Kailea, Meyers, 17, South Ave, Volcano, 90290, hi, 19401229, 29, 480 7183717, 7268942, 2
rec-60-org,   Brent, Kobayashi, 6, Ehupua Pl, Kalaeloa, 85075, hi, 19390102, 30, 253 0723944, 8753549, 3
rec-66-org,   Olivia, Rego, 28, Anapalau Pl, Poipu, 90292, , 19800508, 13, 602 4407405, 3937052, 8
rec-127-org,   ['Wena'], Rego, 17, Pololei Pl, Launiupoko, 85078, az, 19490408, 25, 602 0166845, 7744773, 0
rec-77-org,   Bertram, Mueller, 30, Kaumaka Pl, Anahola, 90245, az, 19400928, 23, 808 0055481, 1102021, 9
rec-174-org,   ['Eleu'], Rego, 5, Liliha St, Volcano, 96746, tx, 19540809, 31, 206 0055961, 5953924, 3
rec-144-org,   Antoinette, Ancheta, 181, N Kukui St, Honokaa, 96728, or, 19761113, 31, , 1139572, 0
rec-159-org,   """[""""Na'au""""]""", Ka'ahumanu, 12, Naupaka Pl, Kealakekua, 85068, hi, 20001213, , 213 6319788, 8273445, 3
rec-104-org,   Everly, Navarro, 234, Naupaka Pl, Volcano, 96731, nv, 19590531, 25, 310 5454017, 1208763, 8
rec-158-org,   ['Mamo'], Kaia, 39, Ala Wai Blvd, Schofield Barracks, 90290, wa, 19380105, , 206 8134827, 7899533, 3
rec-28-org,   Jerry, Norris, 593, Ehupua Pl, Volcano, 96746, or, 20091004, , 602 6595187, 6754292, 1
rec-2-org,   Atlas, Deponte, 20, , Pahala, 90245, az, 20111107, 33, 423 4685025, 5927189, 3
